,title,author,sort,count,status,detail,site,rank1,cover,url1
0,惊悚乐园,三天两觉,游戏,488.6万字,完结,"这是超越维度的游戏。亦是追寻真理的竞逐。未知的封印，鬼神的赌局……数据的抗争，人类的救赎……在那个连接着现实的虚拟世界——意识决定我们，意识选择我们，意识决定了我们的意识。现在，丢掉你的恐惧。丢掉你的私心杂念、疑问和拒信……解放你的思想。欢迎来到，惊悚乐园。《惊悚乐园》实体书现已上架ㄟ(▔,▔)ㄏ",起点中文网,8.5,https://qidian.qpic.cn/qdbimg/349573/2597043/300,https://m.qidian.com/book/2597043/catalog
1,琥珀之剑,绯炎,游戏,569.7万字,完结,命运在我眼前分开成两条互不相关笔直的线，一条通向火焰中熊熊燃烧的宫殿与城池，王国倾覆，大地承载苦难，生灵在这火中忍受煎熬，永世暗无天日。而另一条通向先古诸王之巅，神祗在云端亲自为我加冕，我带上桂冠，沐浴山呼。我的目光看穿历史的迷雾，我的骑士为我开疆扩土，我的剑披荆而行，带领我的子民走向胜利。我接过这权杖，将属于世界的权柄掌握在手中，我俯瞰芸芸众生，改变历史的进程。我是布兰多，沃恩德之王，这是属于我的传奇。.............分隔线.............通俗版简介:这是一个带着资深战士的重生记忆，穿越到自己曾经奋斗过的世界中扭转历史的脉络、叱咤风云的故事,起点中文网,8.1,https://qidian.qpic.cn/qdbimg/349573/1784765/300,https://m.qidian.com/book/1784765/catalog
2,全职高手,蝴蝶蓝,游戏,534.9万字,完结,网游荣耀中被誉为教科书级别的顶尖高手，因为种种原因遭到俱乐部的驱逐，离开职业圈的他寄身于一家网吧成了一个小小的网管，但是，拥有十年游戏经验的他，在荣耀新开的第十区重新投入了游戏，带着对往昔的回忆，和一把未完成的自制武器，开始了重返巅峰之路。===================================,起点中文网,8.3,https://qidian.qpic.cn/qdbimg/349573/1887208/300,https://m.qidian.com/book/1887208/catalog
3,超神机械师,齐佩甲,游戏,516.4万字,连载,韩萧，《星海》骨灰级代练，被来自东（zuo）方(zhe)的神秘力量扔进穿越大军，携带玩家面板变成NPC，回到《星海》公测之前，毅然选择难度最高的机械系。战舰列队纵横星海，星辰机甲夭矫如龙，幽能炮毁天灭地，还有无边无际的机械大军，静静待在随身仓库里一人，即是军团！如果不是玩家出现，本书就是正经严肃的穿越异界题材……作为NPC，正常NPC对玩家功能一应俱全……发布任务？好感度调节？传授技能？哎等等，这群玩家我怎么都认识得，现实世界也回到了十年前。二群：157302881三群：884339155V群：547599250（需1w粉丝值由管理审核）,起点中文网,7.0,https://qidian.qpic.cn/qdbimg/349573/1009480992/300,https://m.qidian.com/book/1009480992/catalog
4,从零开始,雷云风暴,游戏,1979.1万字,完结,想要让游戏币兑换现实货币，那就一定要有一个强大的经济实体来担保其可兑换性。而这个实体只能是一国的政府。可是政府为什么要出面担保一个游戏的真实货币兑换能力？战争也可以这样打。兵不血刃一样能干掉一个国家。一个可以兑换现实货币的游戏，一个超级敛财机器。它的名字就叫做《零》一个彻头彻尾的金融炸弹。——————————通知：百度百科中的作者信息是错的，别信，本人不叫王世伟，学校也是错的。其他信息基本正确。,起点中文网,7.7,https://qidian.qpic.cn/qdbimg/349573/22919/300,https://m.qidian.com/book/22919/catalog
5,主神崛起,文抄公,游戏,258.7万字,完结,一觉醒来穿越成反派？这剧本不对！还抢了人家的妹子？又有一个强势的姐姐？剧本更不对了！居然还有主神空间，诸天万界？我一定是在做梦！吴明淡定地木着脸，继续着征程。,起点中文网,6.5,https://qidian.qpic.cn/qdbimg/349573/1004595865/300,https://m.qidian.com/book/1004595865/catalog
6,武侠世界大冒险,五方行尽,游戏,229.5万字,完结,遍战山河九万里，剑行天涯三千界。一人独行，横断苍穹，问苍生孰为敌手？,起点中文网,7.0,https://qidian.qpic.cn/qdbimg/349573/2442211/300,https://m.qidian.com/book/2442211/catalog
7,王牌进化,卷土,游戏,436.5万字,完结,一个近亲通婚生下的天才白痴！一个具有打工仔、杀人犯、大学生三重身份的少年！恐龙快打、三国志、KOF、圆桌武士、变身忍者、街头霸王……一个个你所熟悉的街机游戏，已经切换成了生存的前提条件！八稚女虐杀不知火舞，天地返击杀李典。只有还没有想到的，没有想不到的！在未知的某天，当你步下楼梯时很可能也会在无意中步入这场——街机梦魇,起点中文网,8.0,https://qidian.qpic.cn/qdbimg/349573/1052418/300,https://m.qidian.com/book/1052418/catalog
8,高手寂寞,兰帝魅晨,游戏,186.2万字,完结,其实，高手有一颗寂寞的心，因为高手的造就本就是用寂寞堆积而成。想快乐，想精彩，想无虑，就别当高手。－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－兰帝魅晨已完本小说：《兰帝魅晨系列之天堂瞬间》《兰帝魅晨系列之新月永恒》《高手寂寞》《真相堕落》《兰帝魅晨系列之饮》《暂命名》《机械末日》《王》《情与血》《惊仙》《读心高手在都市》共十一部小说。目前连载中小说《高手寂寞2》，欢迎阅读。,起点中文网,7.8,https://qidian.qpic.cn/qdbimg/349573/37954/300,https://m.qidian.com/book/37954/catalog
9,深渊主宰,诸生浮屠,游戏,305.3万字,完结,动荡之年。混乱时空内爆发了一股可怕的能量风暴，所有的神灵都暂时失去了全部的神力，被迫以圣者的身份降临世间。这是有史以来最混乱的时期，充满着不可预知的危险与机遇，有强大的诸神陨落，也有卑微的凡人封神，无处不在的混乱厮杀波及整个多元宇宙。圣者多如狗，巫妖遍地走。在这前所未有的动荡时期到来之前，一个名为索伦的少年也开始了他的异界之旅。欢迎大家加入书友群：308769378,起点中文网,6.7,https://qidian.qpic.cn/qdbimg/349573/3313422/300,https://m.qidian.com/book/3313422/catalog
